,rmse_test,rsq_test,rmse_val,rsq_val
ode,0.5198310021920144,0.8680754760059595,0.8917440131112756,0.9223736968232852
keras,0.0710564446401859,0.9962564097216108,0.0834535765296563,0.9979645475685324
pytorch,0.0722781723390893,0.9961338169426468,0.0801492123841016,0.9979954214051036
pytorch,0.0722781723390893,0.9961338169426468,0.0801492123841016,0.9979954214051036
pytorch,0.0768459058343324,0.995766521633783,0.0898504812023562,0.9975690040795122
pytorch,0.0768459058343324,0.995766521633783,0.0898504812023562,0.9975690040795122
