,rmse_test,rsq_test,rmse_val,rsq_val
ode,0.5198310021920144,0.8680754760059595,0.8917440131112756,0.9223736968232852
keras,0.0711256832808486,0.9962537972593642,0.0818758423732467,0.9979761620991487
pytorch,0.0749506439744736,0.9959054118579664,0.0826531273586678,0.9978277237682228
pytorch,0.07104296837209859,0.9962331739698995,0.0787801206122428,0.9980616233715219
